name	block	poss	xcoord	ycoord	treat	col.E	total_treat	flooded	tag	mother	sp	poss	A	E	U	gs	Tlm	Qleaf	jam	starttime 	time	dtime	Ci	com	date	cycle.start	dia
A38	A	38	2.5	2	15	red	18	1	A_Pmal_38	Pm_m_4	pmal	38	-0.33	0.48	70.8	0.02	38.2	433	12:06	08:00	04:06	4.1	407	NA	07.08.2015	04.08.2015	3.8
A39	A	39	3	2	21	green	15	1	A_Slep_39	Slep_1	slep	39	0.23	0.86	NA	NA	NA	586	11:52	08:00	03:52	3.87	NA	NA	29.07.2015	14.07.2015	4.87
A39	A	39	3	2	21	green 	24	1	A_Slep_39	Slep_1	slep	39	-0.05	0.58	71.5	0.02	38.8	435	12:10	08:00	04:10	4.17	363	NA	07.08.2015	04.08.2015	4.87
A4	A	4	1.5	0	12	blue	15	0	A_Dry_4	DL_m_1	dry	4	-0.56	0.2	70.8	0.01	36.7	154	11:41	08:00	03:41	3.68	509	NA	07.08.2015	04.08.2015	4.8
A41	A	41	0	2.5	6	yellow	6	0	A_Pmal_41	12H_Pmal_1	pmal	41	0.06	0.59	71.2	0.04	34.4	250	15:01	08:00	07:01	7.02	375	NA	12.08.2015	04.08.2015	2.65
A43	A	43	1	2.5	0	white	0	0	A_Sjoh_43	ou_SJoh	sjoh	43	-0.09	0.68	70.1	0.03	38	84	12:18	08:00	04:18	4.3	409	NA	07.08.2015	04.08.2015	2.65
A44	A	44	1.5	2.5	0	white	0	0	A_Spar_44	Sp_m_4	spar	44	1.76	1.8	70.8	0.09	35.6	221	15:06	08:00	07:06	7.1	335	NA	12.08.2015	04.08.2015	3.91
A44	A	44	1.5	2.5	0	white	0	1	A_Spar_44	Sp_m_4	spar	44	2.28	1.29	NA	NA	NA	46	09:45	08:00	01:45	1.75	NA	NA	30.07.2015	14.07.2015	3.91
A44	A	44	1.5	2.5	0	white	0	1	A_Spar_44	Sp_m_4	spar	44	5.81	2.21	NA	NA	NA	503	12:45	08:00	04:45	4.75	NA	NA	31.07.2015	14.07.2015	3.91
A45	A	45	2	2.5	6	yellow	6	0	A_Dry_45	DL_Tawau	dry	45	-0.16	0.28	70.1	0.01	38.2	503	12:24	08:00	04:24	4.4	595	NA	07.08.2015	04.08.2015	5.54
A47	A	47	3	2.5	18	silver	13	1	A_Dry_47	DL_m_6	dry	47	1.14	0.73	NA	NA	NA	54	09:51	08:00	01:51	1.85	NA	NA	30.07.2015	14.07.2015	2.59
A47	A	47	3	2.5	18	silver	13	1	A_Dry_47	DL_m_6	dry	47	0.23	0.44	NA	NA	NA	260	15:11	08:00	07:11	7.18	NA	NA	30.07.2015	14.07.2015	2.59
A52	A	52	1.5	3	18	silver	13	1	A_Sjoh_52	8m_SJoh_6	sjoh	52	-1.14	0.41	NA	NA	NA	57	09:56	08:00	01:56	1.93	NA	NA	30.07.2015	14.07.2015	2.77
A52	A	52	1.5	3	18	silver	13	1	A_Sjoh_52	8m_SJoh_6	sjoh	52	-1.25	0.32	NA	NA	NA	167	15:17	08:00	07:17	7.28	NA	NA	30.07.2015	14.07.2015	2.77
A53	A	53	2	3	0	white	0	0	A_Sjoh_53	8L_SJoh_50	sjoh	53	3.64	1.01	70.8	0.08	36.2	103	15:11	08:00	07:11	7.18	260	NA	12.08.2015	04.08.2015	4.27
A54	A	54	2.5	3	21	green	16	1	A_Spar_54	Sp_m_1	spar	54	-0.46	0.49	NA	NA	NA	187	15:22	08:00	07:22	7.37	NA	NA	30.07.2015	14.07.2015	4.4
A55	A	55	3	3	9	black 	9	0	A_Ssem_55	Ssem_ou	ssem	55	0.43	0.63	70.1	0.04	36.3	209	15:18	08:00	07:18	7.3	349	NA	12.08.2015	04.08.2015	4.04
A55	A	55	3	3	9	black	4	1	A_Ssem_55	Ssem_ou	ssem	55	1.71	0.59	NA	NA	NA	221	15:28	08:00	07:28	7.47	NA	NA	30.07.2015	14.07.2015	4.04
