cenus	name	mother	block	poss	xcoord	ycoord	treat	col.E	tag	sp	dia	height	leaf	sday	surv	Bleaf	Bstem	Broot	Btotal
4	B28	Sxan_1	B	28	6	1.5	18	silver	B_Sxan_28	Sxan	NA	NA	NA	39	0	NA	NA	NA	NA
4	B29	SS	B	29	6.5	1.5	12	blue	B_Ssem_29	Ssem	3.93	281	3	84	1	130.4	1440.5	879.3	2450.2
4	B30	Pm_m_3	B	30	7	1.5	9	black	B_Pmal_30	Pmal	5.54	369	1	84	1	232.2	1586.6	1092.4	2911.2
4	B31	SS	B	31	7.5	1.5	0	white	B_Ssem_31	Ssem	5.12	308	8	84	1	1389.3	2348.8	1417.2	5155.3
4	B32	Sbec_Sfr	B	32	8	1.5	21	green	B_Sbec_32	Sbec	NA	NA	NA	26	0	NA	NA	NA	NA
4	B33	9L_Pmal_7	B	33	4.5	2	15	red	B_Pmal_33	Pmal	NA	NA	NA	40	0	NA	NA	NA	NA
4	B34	8Q_Slep_4	B	34	5	2	18	silver	B_Slep_34	Slep	6.62	439	1	84	1	365.4	3419.3	1369.4	5154.1
4	B35	11H_Sxan_7	B	35	5.5	2	12	blue	B_Sxan_35	Sxan	NA	NA	NA	40	0	NA	NA	NA	NA
4	B36	SHOREABECCARINA_Sbec	B	36	6	2	9	black	B_Sbec_36	Sbec	6.57	270	2	84	1	625.2	1881.8	1311.3	3818.3
4	B37	DL_m_7	B	37	6.5	2	6	yellow	B_Dry_37	Dry	6.14	649	6	84	1	1067.1	5051.8	2027.9	8146.8
4	B38	SHOREABECCARINA_Sbec	B	38	7	2	3	orange	B_Sbec_38	Sbec	4.4	372	2	84	1	804.8	1512.9	994.2	3311.9
4	B39	SHOREABECCARINA_Sbec	B	39	7.5	2	15	red	B_Sbec_39	Sbec	5.15	380	0	84	1	485.9	2048.8	2085.6	4620.3
4	B40	DL_m_3	B	40	8	2	3	orange	B_Dry_40	Dry	6.52	693	17	84	1	4760.1	7442.1	2650.3	14852.5
4	B41	Ssmi_m_2	B	41	4.5	2.5	21	green	B_Ssmi_41	Ssmi	NA	NA	NA	41	0	NA	NA	NA	NA
4	B42	8Q_Slep_4	B	42	5	2.5	18	silver	B_Slep_42	Slep	7.74	470	2	84	1	1499.9	4322.2	2050.8	7872.9
4	B43	SHOREABECCARINA_Sbec	B	43	5.5	2.5	18	silver	B_Sbec_43	Sbec	5.15	410	3	84	1	684.2	2480.2	1097.4	4261.8
4	B44	Ptom_3_rdc	B	44	6	2.5	0	white	B_Ptom_44	Ptom	6.36	340	8	84	1	3307	4136.2	3157.3	10600.5
4	B45	Ssmi_5	B	45	6.5	2.5	9	black	B_Ssmi_45	Ssmi	7.05	318	3	84	1	1300	3623	1428.2	6351.2
4	B46	Pmal_Tawau	B	46	7	2.5	21	green	B_Pmal_46	Pmal	NA	NA	NA	32	0	NA	NA	NA	NA
4	B47	9P_Spar_2	B	47	7.5	2.5	12	blue	B_Spar_47	Spar	NA	NA	NA	30	0	NA	NA	NA	NA
4	B48	SP_m_7	B	48	8	2.5	9	black	B_Spar_48	Spar	4.48	300	1	84	1	305.9	1432.1	979.2	2717.2
4	B49	12H_Pmal_1	B	49	4.5	3	12	blue	B_Pmal_49	Pmal	4.22	190	0	84	1	0	648.7	618.4	1267.1
4	B50	8m_SJoh_6	B	50	5	3	12	blue	B_Sjoh_50	Sjoh	NA	NA	NA	31	0	NA	NA	NA	NA
4	B51	Sp_m_3	B	51	5.5	3	18	silver	B_Spar_51	Spar	5.69	508	0	84	1	0	3371.3	1304.2	4675.5
4	B52	SS	B	52	6	3	18	silver	B_Ssem_52	Ssem	NA	NA	NA	60	0	NA	NA	NA	NA
4	B53	DL_m_6	B	53	6.5	3	9	black	B_Dry_53	Dry	5.54	486	10	84	1	2064.1	2734	1454.9	6253
4	B54	DL_Tawau	B	54	7	3	3	orange	B_Dry_54	Dry	5.17	558	0	84	1	0	2430.2	1360.3	3790.5
4	B55	SL_m_1	B	55	7.5	3	9	black	B_Slep_55	Slep	4.13	371	2	84	1	455.3	1554.9	677.1	2687.3
4	B56	Ssmi_4	B	56	8	3	0	white	B_Ssmi_56	Ssmi	6.78	489	5	84	1	2297.3	4121.1	2820.9	9239.3
4	B57	8L_SJoh_50	B	57	4.5	3.5	9	black	B_Sjoh_57	Sjoh	NA	NA	NA	42	0	NA	NA	NA	NA
4	B58	9J_Ptom_14	B	58	5	3.5	18	silver	B_Ptom_58	Ptom	NA	NA	NA	22	0	NA	NA	NA	NA
4	B59	Ssmi_3A	B	59	5.5	3.5	18	silver	B_Ssmi_59	Ssmi	NA	NA	NA	25	0	NA	NA	NA	NA
4	B60	8K_SJoh_8	B	60	6	3.5	0	white	B_Sjoh_60	Sjoh	4.91	369	5	84	1	3271	4265.9	1501	9037.9
4	B61	9H_Ssmi_4	B	61	6.5	3.5	9	black	B_Ssmi_61	Ssmi	6.34	469	4	84	1	1879.4	4286.4	1967.4	8133.2
